url,category,label
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/street3.jpeg,street,joburg rain
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/portrait6.jpeg,portrait,old man
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/landscape2.jpeg,landscape,lone acacia
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/editorial4.jpeg,editorial,joburg rooftop
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/event2.jpeg,event,the crowd
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/street2.jpeg,street,under the bridge
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/portrait4.jpeg,portrait,in the doorway
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/landscape5.jpeg,landscape,joburg skyline
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/editorial6.jpeg,editorial,abandoned light
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/event6.jpeg,event,garden wedding
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/street6.jpeg,street,taxi rank
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/portrait2.jpeg,portrait,natural hair
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/landscape3.jpeg,landscape,karoo storm
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/editorial3.jpeg,editorial,concrete steps
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/event1.jpeg,event,finish line
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/street4.jpeg,street,barbershop talk
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/portrait1.jpeg,portrait,window light
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/landscape4.jpeg,landscape,cape point
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/editorial5.jpeg,editorial,maboneng
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/event5.jpeg,event,street festival
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/street5.jpeg,street,the alley
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/portrait3.jpeg,portrait,the kid
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/landscape6.jpeg,landscape,the long road
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/editorial2.jpeg,editorial,film & glass
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/event4.jpeg,event,dinner table
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/street1.jpeg,street,fruit vendor
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/portrait5.jpeg,portrait,double city
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/landscape1.jpeg,landscape,aerial suburbs
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/editorial1.jpeg,editorial,hands + leica
https://vfsobydjcymnzqkcdkko.supabase.co/storage/v1/object/public/photos/event3.jpeg,event,cap throw
